"Compare Products","Compare Products"
"Remove Product","Remove Product"
"Compare","Compare"
"Ajax Add To Compare","Ajax Add To Compare"
"Settings","Settings"
"Enabled","Enabled"
"Show Compare Box","Show Compare Box"
"Select yes for enable ajax compare in frontend.","Select yes for enable ajax compare in frontend."
"Select yes to show compare box at bottom.","Select yes to show compare box at bottom."
"You have no items to compare.","You have no items to compare."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"